cell_id,drop_threshold,relative_increment_fraction,plateau_patience,checkpoint,seed,num_layers,source,destination,through,destination_max_layer,keep_max_layer,kept_layers,retained,max_exact_drop,exact_drop_at_kept_prefix
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tens,B_ones,O[0],4,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_ones,B_ones,O[0],4,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_tag,B_ones,O[0],4,0,L0-L0,1,0.2796286182413982,0.2796286182413982
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_tens,B_ones,O[0],4,0,L0-L0,1,0.1370835608956854,0.12179137083560898
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tag,D_ones,O[0],8,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_hundreds,D_ones,O[0],8,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tens,D_ones,O[0],8,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_ones,D_ones,O[0],8,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_tag,D_ones,O[0],8,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_tens,D_ones,O[0],8,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_ones,D_ones,O[0],8,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,D_tag,D_ones,O[0],8,0,L0-L0,1,0.27689787001638444,0.275805570726379
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tag,N_hundreds,O[1],6,0,L0-L0,1,0.312397596941562,0.312397596941562
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tag,N_tens,O[1],6,-1,none,0,0.020207536865101017,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_hundreds,N_tens,O[1],6,-1,none,0,0.0005461496450027692,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tag,N_ones,O[1],7,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_hundreds,N_ones,O[1],7,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tens,N_ones,O[1],7,-1,none,0,0.0010922992900054274,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tag,B_ones,O[1],3,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_hundreds,B_ones,O[1],3,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tens,B_ones,O[1],3,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_ones,B_ones,O[1],3,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_tag,B_ones,O[1],3,0,L0-L0,1,0.2796286182413982,0.2796286182413982
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_tens,B_ones,O[1],3,0,L0-L0,1,0.1370835608956854,0.12179137083560898
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tag,D_ones,O[1],7,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_hundreds,D_ones,O[1],7,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tens,D_ones,O[1],7,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_ones,D_ones,O[1],7,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_tag,D_ones,O[1],7,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_tens,D_ones,O[1],7,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_ones,D_ones,O[1],7,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,D_tag,D_ones,O[1],7,0,L0-L0,1,0.27689787001638444,0.275805570726379
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tag,B_tag,B_ones,0,-1,none,0,0.0005461496450027692,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_hundreds,B_tag,B_ones,0,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tens,B_tag,B_ones,0,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_ones,B_tag,B_ones,0,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tag,B_tens,B_ones,0,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_hundreds,B_tens,B_ones,0,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tens,B_tens,B_ones,0,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_ones,B_tens,B_ones,0,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_tag,B_tens,B_ones,0,0,L0-L0,1,0.20262151829601316,0.20262151829601316
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tag,D_tag,D_ones,0,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_hundreds,D_tag,D_ones,0,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tens,D_tag,D_ones,0,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_ones,D_tag,D_ones,0,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_tag,D_tag,D_ones,0,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_tens,D_tag,D_ones,0,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_ones,D_tag,D_ones,0,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tag,B_tag,B_tens,0,-1,none,0,0.0005461496450027692,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_hundreds,B_tag,B_tens,0,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tens,B_tag,B_tens,0,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_ones,B_tag,B_tens,0,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tag,O[0],ROOT,9,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_hundreds,O[0],ROOT,9,6,L0-L6,1,0.08581788879935537,0.08581788879935537
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tens,O[0],ROOT,9,7,L0-L7,1,0.08783239323126513,0.08581788879935537
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_ones,O[0],ROOT,9,-1,none,0,0.03706688154713933,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_tag,O[0],ROOT,9,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_tens,O[0],ROOT,9,5,L0-L5,1,0.13053988718775178,0.11603545527800163
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_ones,O[0],ROOT,9,2,L0-L2,1,0.12973408541498788,0.12409347300564055
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,D_tag,O[0],ROOT,9,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,D_ones,O[0],ROOT,9,6,L0-L6,1,0.11966156325543909,0.10757453666398065
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tag,O[1],ROOT,9,-1,none,0,0.00040290088638195165,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_hundreds,O[1],ROOT,9,6,L0-L6,1,0.2058823529411764,0.2034649476228847
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tens,O[1],ROOT,9,8,L0-L8,1,0.23609991941982267,0.23609991941982267
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_ones,O[1],ROOT,9,8,L0-L8,1,0.2308622078968573,0.2143432715551974
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_tag,O[1],ROOT,9,-1,none,0,0.00040290088638195165,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_tens,O[1],ROOT,9,-1,none,0,0.0008058017727639033,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_ones,O[1],ROOT,9,3,L0-L3,1,0.4153908138597905,0.3114423851732474
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,D_tag,O[1],ROOT,9,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,D_ones,O[1],ROOT,9,3,L0-L3,1,0.46132151490733275,0.44157937147461723
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,O[0],O[1],ROOT,9,-1,none,0,0.03988718775181299,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tag,N_hundreds,O[0],6,0,L0-L0,1,0.2763900080580177,0.2763900080580177
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tag,N_tens,O[0],7,0,L0-L0,1,0.1535052377115229,0.1535052377115229
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_hundreds,N_tens,O[0],7,-1,none,0,0.016116035455277955,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tag,B_tens,O[0],5,-1,none,0,0.00040290088638195165,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_hundreds,B_tens,O[0],5,-1,none,0,0.00040290088638195165,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tens,B_tens,O[0],5,-1,none,0,0.00040290088638195165,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_ones,B_tens,O[0],5,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_tag,B_tens,O[0],5,0,L0-L0,1,0.17405318291700245,0.1736502820306205
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tag,B_ones,O[0],2,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_hundreds,B_ones,O[0],2,-1,none,0,0.00040290088638195165,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tens,B_ones,O[0],2,-1,none,0,0.00040290088638195165,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_ones,B_ones,O[0],2,-1,none,0,0.00040290088638195165,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_tag,B_ones,O[0],2,0,L0-L0,1,0.23045930701047546,0.23045930701047546
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_tens,B_ones,O[0],2,0,L0-L0,1,0.21796937953263495,0.20870265914585007
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tag,D_ones,O[0],6,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_hundreds,D_ones,O[0],6,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tens,D_ones,O[0],6,-1,none,0,0.00040290088638195165,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_ones,D_ones,O[0],6,-1,none,0,0.00040290088638195165,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_tag,D_ones,O[0],6,-1,none,0,0.00040290088638195165,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_tens,D_ones,O[0],6,-1,none,0,0.00040290088638195165,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_ones,D_ones,O[0],6,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,D_tag,D_ones,O[0],6,0,L0-L0,1,0.4822723609991941,0.4806607574536663
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tag,N_hundreds,O[1],6,0,L0-L0,1,0.2763900080580177,0.2763900080580177
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tag,N_tens,O[1],8,0,L0-L0,1,0.1535052377115229,0.1535052377115229
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_hundreds,N_tens,O[1],8,-1,none,0,0.016116035455277955,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tag,N_ones,O[1],8,-1,none,0,0.010475423045930632,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_hundreds,N_ones,O[1],8,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tens,N_ones,O[1],8,-1,none,0,0.004431909750201468,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tag,B_ones,O[1],3,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_hundreds,B_ones,O[1],3,-1,none,0,0.00040290088638195165,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tens,B_ones,O[1],3,-1,none,0,0.00040290088638195165,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_ones,B_ones,O[1],3,-1,none,0,0.00040290088638195165,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_tag,B_ones,O[1],3,0,L0-L0,1,0.23045930701047546,0.23045930701047546
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_tens,B_ones,O[1],3,0,L0-L0,1,0.21796937953263495,0.20870265914585007
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tag,D_ones,O[1],3,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_hundreds,D_ones,O[1],3,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tens,D_ones,O[1],3,-1,none,0,0.00040290088638195165,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_ones,D_ones,O[1],3,-1,none,0,0.00040290088638195165,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_tag,D_ones,O[1],3,-1,none,0,0.00040290088638195165,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_tens,D_ones,O[1],3,-1,none,0,0.00040290088638195165,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_ones,D_ones,O[1],3,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,D_tag,D_ones,O[1],3,0,L0-L0,1,0.4822723609991941,0.4806607574536663
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tag,B_tag,B_tens,0,-1,none,0,0.003626107977437565,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_hundreds,B_tag,B_tens,0,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tens,B_tag,B_tens,0,-1,none,0,0.00040290088638195165,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_ones,B_tag,B_tens,0,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tag,B_tag,B_ones,0,-1,none,0,0.003626107977437565,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_hundreds,B_tag,B_ones,0,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tens,B_tag,B_ones,0,-1,none,0,0.00040290088638195165,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_ones,B_tag,B_ones,0,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tag,B_tens,B_ones,0,-1,none,0,0.00040290088638195165,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_hundreds,B_tens,B_ones,0,-1,none,0,0.00040290088638195165,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tens,B_tens,B_ones,0,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_ones,B_tens,B_ones,0,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_tag,B_tens,B_ones,0,0,L0-L0,1,0.1736502820306205,0.1736502820306205
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tag,D_tag,D_ones,0,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_hundreds,D_tag,D_ones,0,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tens,D_tag,D_ones,0,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_ones,D_tag,D_ones,0,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_tag,D_tag,D_ones,0,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_tens,D_tag,D_ones,0,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_ones,D_tag,D_ones,0,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,10,N_tag,O[0],ROOT,9,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,10,N_hundreds,O[0],ROOT,9,6,L0-L6,1,0.23571428571428577,0.23571428571428577
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,10,N_tens,O[0],ROOT,9,7,L0-L7,1,0.17582417582417587,0.17362637362637368
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,10,N_ones,O[0],ROOT,9,8,L0-L8,1,0.06318681318681318,0.06153846153846154
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,10,B_tag,O[0],ROOT,9,-1,none,0,0.0,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,10,B_tens,O[0],ROOT,9,-1,none,0,0.042857142857142816,0.0
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,10,B_ones,O[0],ROOT,9,2,L0-L2,1,0.21098901098901102,0.17307692307692313
drop0.05_rel0.2,0.05,0.2,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s1337_best.pt,1337,10,D_tag,O[0],ROOT,9,-1,none,0,0.0,0.0
